,song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
0,2U.mp3,sad,0.5717592592592593,0.6525734126564054,0.3190394997471575,0.274587501874659,0.48764229379308516,0.4563094186624162,0.2486796250951669,0.4579726174350483,0.4166483766726671,0.4523336612385833,0.6925829613999852,0.5911492928343601,0.41817419283727747,0.32128955019975886,0.1042985440556557,0.7324478141458192,0.09666006639887409,0.050578492075731236,0.706066806152369,0.3433328683982479,0.2654891597271294,0.7142530296119365,0.3816950839194467,0.1731547240661488,0.6164658282849871,0.6138020369105847,0.5024396825265475,1.0,0.47722937901123097,0.3612147736957276,0.6302354393781757,0.247433549170878,0.21688375307416405,0.8715335246271076,0.6137756056749588,0.5253441293367401,0.7154431676467403,0.636883224943325,0.43439280845253936,0.21087545192822835,0.5322412459698808,0.3813644436298756,0.4230773249738767,0.4771708286026091,0.3252389338006913,0.6956454680090853,0.6028798888539979,0.374819875625459,0.4147393517450561,0.469630138176061,0.24735913796048636,0.05648672600470077,0.09382189580698738,0.024118881475413387
1,Adele - Hello.mp3,angry,0.7944444444444445,0.7690033098328146,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5926129027109688,0.010830914759602137,0.007131769856489053,0.0,0.0,0.0,0.1357569425572675,0.25615252496169,0.16664024189321913,0.3911923389571654,0.28087398123097473,0.18694689828485828,0.0,0.6168296968796592,0.5780537872584613,0.18107805754457765,0.15729702774950638,0.10784858795266032,0.0,0.0,0.0,0.3430610171112335,0.03917321322073898,0.016363158946049703,0.215672239637757,0.2916448768870156,0.16583328760685462,0.6622401628163528,0.0,0.0,0.3373696304092076,0.0,0.0,1.0,1.0,1.0
2,Alan Walker - Darkside (feat. AuRa and Tomine Harket).mp3,sad,0.12638888888888886,0.13930232394018308,0.30650585374500866,0.16297065389590504,0.535894428947375,0.504704015747137,0.14257507593614296,0.744711362586504,0.7130622102961561,0.260770867755928,0.8378041741882654,0.7730653826387576,0.2977141951279563,0.20067639441670687,0.0410592487783582,0.6668541593575159,0.17859525050852676,0.10117475217866381,0.874122882424601,0.023859103441480952,0.015817723965824124,0.5937338527410191,0.423590474461495,0.20784175198879867,0.42793255006105296,0.5469983468712228,0.4305895232157961,0.6069555026249677,0.5022002920230149,0.38594682310322365,0.757582803630355,0.3777608982994358,0.3391971553971961,0.4708397018598373,0.46888257847402925,0.3759833312096894,0.6621370046571198,0.6658238950033933,0.47100408262803756,0.8046876263784637,0.795034906931764,0.6962801279488814,0.40281086729362603,0.39038581729733496,0.24545379536256523,0.6929088593797661,0.5335847681119911,0.2965169683863742,0.3959218573467334,0.3843389550238232,0.1731826694127892,0.18259931414480016,0.3136706753180996,0.13717248145286626
3,Alan Walker - Diamond Heart (feat. Sophia Somajo).mp3,sad,0.1494252873563218,0.1450045519022717,0.4017872810216313,0.12062873720721451,0.49983457686356175,0.46848249274389486,0.1591015113810989,0.633983659588712,0.5953537763284236,0.3197719744389494,0.7958205309836036,0.7184082963139646,0.15560090494384246,0.14999228159917358,0.023124194396494324,0.3804942397368255,0.2122599659091216,0.12401705658246999,0.8078714585704434,0.0,0.0,0.3961065913225358,0.3511880940978926,0.14984836342900695,0.48096240201230334,0.29619022554610397,0.19825788900963728,0.760754858652338,0.1818550651647035,0.11266719365163948,0.7131105414933682,0.3103524486480778,0.27523788691313683,0.5772833883582301,0.1677976871804157,0.11570551827151233,0.4351020773984682,0.4528607368783715,0.2359101141484518,0.739784915068289,0.755661229048252,0.6437660062633564,0.3344009056078021,0.24212658235426412,0.13037481408403745,0.6952679611029531,0.3782619824293412,0.15423693260933488,0.39930507410074045,0.25471234959999967,0.08530902954391648,0.16776480561014134,0.09777163109912232,0.025450846298207954
4,"Alan Walker - Different World feat. Sofia Carson, K-391 & CORSAK (Lyric Video).mp3",sad,0.46041666666666664,0.5288110713554789,0.3085284374786734,0.357316813748339,0.4494251645661254,0.41839363428425524,0.28393278169915076,0.8295785944342584,0.8060429929869738,0.369703480798783,0.758472998566797,0.6711983297323673,0.3966638475362557,0.2892915767117365,0.08469994516588873,0.9072021199324605,0.1339178307179885,0.0727072583515349,0.8874430565851757,0.1881770259814374,0.1354308534320856,0.6859386083018364,0.4738805075003335,0.2535756230410462,0.5901290352811047,0.7396530009442481,0.6491879776054941,0.830505280015868,0.6696292728181358,0.5667541629090045,0.6701454607817067,0.43032817066738754,0.39010934379425355,0.7929718783252403,0.6825660483083659,0.6017392066473384,0.7360677955007369,0.7317833302765853,0.5599265666296432,0.5804051634313218,0.7524176349499426,0.6395236785895659,0.4451863462208289,0.4937003435285514,0.3414752254952292,0.6893236150519177,0.5638002534833537,0.3295354256222582,0.42260799998092025,0.586889875783183,0.3705331667857277,0.1732747659230146,0.2864089681385049,0.11884918590479936
5,Alone_(Alan_Walker)(www.englishsong.in).mp3,happy,0.20061728395061726,0.21764444350348272,0.29901676112054065,0.2815279697429081,0.5706364764792227,0.5399102522871527,0.36671079751200697,0.7374557911400965,0.7052240244953166,0.5016424838127894,0.6505445009402586,0.54223880823302,0.4997895071085976,0.391960288818969,0.15480401986244183,0.87507686913815,0.08004851602028164,0.04118454255548477,0.9567447943968456,0.08684705075879658,0.05946525009133356,0.7607830188158693,0.6043771957720314,0.3930962944639217,0.6538913519084599,0.41812235652916013,0.3038252698944369,0.9510350460687796,0.41368063735809985,0.30088981766704564,0.5547353556729053,0.1342209901115447,0.11515618508384459,0.8340673435204926,0.49274302306017115,0.3995022074130477,0.9043530370415824,0.9129892726084679,0.8434329160684926,0.46086721502443667,0.6389901634598649,0.49919078899672,0.4709456635318704,0.25592404300851723,0.13995458781527953,0.6776529041712461,0.659327740706472,0.44536678930796686,0.3888531010390082,0.5497372436816742,0.3288507377443652,0.07945131584017259,0.19079534708572762,0.06421684792192742
6,Ariana Grande - 7 rings.mp3,sad,0.0,0.0,0.3245489471464175,0.26047836337148006,0.8252908457626565,0.8072087344723354,0.16839971799002865,0.8210768485970371,0.7966202614752789,0.3175295498020793,0.797457511553531,0.7205079605788048,0.30007112353404924,0.43974628859968956,0.19458744653332014,0.5781608326299944,0.26594218597627683,0.1629162948626211,0.6282437808430059,0.5925748115753185,0.5092154786830906,0.5187538864968079,0.5638714768346699,0.34656856472013337,0.39502919229070044,0.7913790090602192,0.7138181464607309,0.6937551333304498,0.8260050003045643,0.7591715678468811,0.6582424590669992,0.5220433948957075,0.4811079089288221,0.5260860226001467,0.7601312852243621,0.6921139259435529,0.4191766103267431,0.4063171156282415,0.19510540381912977,0.15337598347949286,0.7511109354969489,0.637818237261345,0.2577830024381749,0.4544220331104678,0.3034378474866225,0.690324299753883,0.5464726097921416,0.31038762046062995,0.4006657809296657,0.3277605534818374,0.1311401199410114,0.4739336492890995,0.30816778580114135,0.13337568195125823
7,Ariana Grande - imagine (lyric video).mp3,relax,0.4126984126984127,0.41928312832130077,0.23469751337061676,0.2368923226814256,0.7185335298746207,0.6931703682110033,0.14281193906438566,0.9270477143975326,0.9157889506879943,0.2508561940415373,0.8446448495455762,0.7821301440784438,0.5272220957494812,0.4019340603410786,0.16273222822526848,0.7398726422725463,0.14200995712977496,0.07770715536158813,0.9523901110479616,0.7409448888964174,0.6746711677698038,0.7816244214386685,0.5976158179343425,0.38512808309677865,0.6439911824592315,0.6948623888897805,0.5952542910201332,0.8250721346685121,0.4410436725651154,0.3264043014408615,0.8652590822972663,0.6940959277430795,0.6592614236407603,0.7178433385937053,0.4419787885233102,0.3499741579247978,0.7423146933625382,0.7359367794404966,0.5657809726302859,0.41429077179278123,0.98116974559614,0.9699729859443964,0.5659021246952283,0.6470792038318326,0.5080039215483434,0.6931408245058595,0.6805716155977423,0.4734889357205162,0.42347162088446805,0.6576423522933843,0.45672484691829796,0.04415674488498439,0.0679369631124327,0.016022877859194998
8,"Ariana Grande - thank u, next (Lyrics).mp3",sad,0.29340277777777773,0.32794162273551686,0.3246039357307313,0.26007809690595296,0.74600134411281,0.7222385846298272,0.2597501525865297,0.6763125874535981,0.6398694792379325,0.5046821544712778,0.6478802416285654,0.5391957630988077,0.4616828475025114,0.3502115069268953,0.12376635110587023,0.6613788214849775,0.21116311485816627,0.12325394888912614,0.8378632100360133,0.5100535868955636,0.423770133735416,0.72516856266871,0.4934147695337433,0.27254538532644873,0.3455552138222038,0.39349760137866435,0.2813797640200434,0.7367149488453069,0.5542808461256382,0.43939527408320367,0.7964107524097769,0.7476117577599233,0.716655381299056,0.4765077421830087,0.5657510080448445,0.47410327929248486,0.6852927819363669,0.6899978657510273,0.5027095077180584,0.09469600194914479,0.5807877795717525,0.4332363491776038,0.15986067572274473,0.13961360325376607,0.06645986425425468,0.6953116905068578,0.6114180690154501,0.3851010070465468,0.35286201290979424,0.6092804841963737,0.39684341743716856,0.13559126112588138,0.224865534505053,0.08196503904777631
9,Attention_(Charlie_Puth)_(www.englishsong.in).mp3,sad,0.2291666666666666,0.25939491457243874,0.29117887058901903,0.1606235829284487,0.6845125677736599,0.6574297439819955,0.24600702500160082,0.8399146498251635,0.8175310282551821,0.48475968705287986,0.6651848435181918,0.5590813093530727,0.25545623044784377,0.3001361342971621,0.0911139079387552,0.3661829165249314,0.281348453619387,0.1746417455289247,0.6829920304306031,0.6745386502037477,0.5987385556809438,0.4629806545798221,0.5577168196085727,0.3397526934488469,0.562669753636883,0.6747123720973298,0.5716058069432732,0.9237017873942617,0.3114623002106525,0.21173649919056572,0.7537195533198152,0.3755991389925825,0.3371228694205606,0.7295010013744843,0.5786935720018972,0.4877432387186892,0.4041302125929719,0.4764472165540951,0.2580366638262289,0.034885701276631424,0.7170096665645843,0.5940426513127004,0.3620480668756531,0.5803427675355718,0.4320245334386867,0.6946855579559542,0.4106717955083747,0.1801306030131931,0.4026633332308683,0.5428379676848638,0.32138153786171225,0.036874349786151873,0.07620388735251318,0.018489106887039745
